130.191.1.1	munga.sdsu.edu
130.191.1.5	piper.sdsu.edu
130.191.1.14	reserved-send-email-to-hostmaster-for-info.sdsu.edu
130.191.1.20	sentry-s.sdsu.edu
130.191.1.30	trantor.sdsu.edu
130.191.1.35	illusion.sdsu.edu
130.191.1.39	gltest.sdsu.edu
130.191.1.40	abyss.sdsu.edu
130.191.1.50	shadow.sdsu.edu
130.191.1.51	bogus.sdsu.edu
130.191.1.52	secwarn.sdsu.edu
130.191.1.53	itsoblock.sdsu.edu
130.191.1.70	mirage.sdsu.edu
130.191.1.71	dot.sdsu.edu
130.191.1.80	spicy.sdsu.edu
130.191.1.81	salsa.sdsu.edu
130.191.1.89	malbec1-log.sdsu.edu
130.191.1.90	ws.sdsu.edu
130.191.1.92	malbec1.sdsu.edu
130.191.1.93	malbec2.sdsu.edu
130.191.1.100	phantom.sdsu.edu
130.191.1.110	cassandra.sdsu.edu
130.191.1.111	enigma2.sdsu.edu
130.191.1.120	eclipse.sdsu.edu
130.191.1.131	roadrunner.sdsu.edu
130.191.1.133	roadrunner-scanned.sdsu.edu
130.191.1.200	lotr.sdsu.edu
130.191.1.207	rfc.sdsu.edu
130.191.1.215	sca01838.sharp.sdsu.edu
130.191.1.227	sherlock.sdsu.edu
130.191.2.8	svm-netapp1gold.sdsu.edu
130.191.2.11	svm-netapp2gold.sdsu.edu
130.191.2.15	e2900u.sdsu.edu
130.191.2.17	comet.sdsu.edu
130.191.2.20	aruba.sdsu.edu
130.191.2.21	baja.sdsu.edu
130.191.2.30	esit008p.sdsu.edu
130.191.2.31	esit005d.sdsu.edu
130.191.2.32	esit005s.sdsu.edu
130.191.2.34	esit005u.sdsu.edu
130.191.2.35	esit008u.sdsu.edu
130.191.2.40	sdsusecdb.sdsu.edu
130.191.2.45	bisdevwdb.sdsu.edu
130.191.2.46	biststwdb.sdsu.edu
130.191.2.47	bisprdwdb.sdsu.edu
130.191.2.52	sd12ddb.sdsu.edu
130.191.2.53	sd12cdb.sdsu.edu
130.191.2.54	sd12qdb.sdsu.edu
130.191.2.55	sd12sdb.sdsu.edu
130.191.2.56	sd12tdb.sdsu.edu
130.191.2.60	idmproddb.sdsu.edu
130.191.2.62	idmdevdb.sdsu.edu
130.191.2.64	oahu.sdsu.edu
130.191.2.65	maui.sdsu.edu
130.191.2.66	hrtstcdb.sdsu.edu
130.191.2.67	hrprdcdb.sdsu.edu
130.191.2.70	aimdb.sdsu.edu
130.191.2.71	aimdbdev.sdsu.edu
130.191.2.75	templatedb.sdsu.edu
130.191.2.76	ucotestdb.sdsu.edu
130.191.2.77	sdprddb.sdsu.edu
130.191.2.78	sdrptdb.sdsu.edu
130.191.2.100	cvmgold.sdsu.edu
130.191.3.1	htcpub1.sdsu.edu
130.191.3.2	ruac.sdsu.edu
130.191.3.5	www-rohan.sdsu.edu
130.191.3.6	gondor.sdsu.edu
130.191.3.12	ittn.sdsu.edu
130.191.3.17	inkwell.sdsu.edu
130.191.3.20	www-test.sdsu.edu
130.191.3.61	itsnet.sdsu.edu
130.191.3.100	rohan.sdsu.edu
130.191.3.101	studmail.sdsu.edu
130.191.3.200	bitbucket.sdsu.edu
130.191.5.15	caasi.sdsu.edu
130.191.5.17	caasi2.sdsu.edu
130.191.5.24	rreilly.sdsu.edu
130.191.5.26	bulldog2.sdsu.edu
130.191.5.29	casemac.sdsu.edu
130.191.5.31	beast.sdsu.edu
130.191.5.51	suprtech.sdsu.edu
130.191.5.52	pott.sdsu.edu
130.191.5.59	actscan.sdsu.edu
130.191.5.70	misty.sdsu.edu
130.191.5.76	fridge.sdsu.edu
130.191.5.78	bulldog1.sdsu.edu
130.191.5.95	tidie.sdsu.edu
130.191.5.107	bisdev2.sdsu.edu
130.191.5.185	venus.sdsu.edu
130.191.5.195	gammara.sdsu.edu
130.191.5.205	llcn-lacie-video-raid.sdsu.edu
130.191.5.239	llcn.sdsu.edu
130.191.7.6	surfer.sdsu.edu
130.191.7.20	matrix.sdsu.edu
130.191.7.35	lex.sdsu.edu
130.191.7.39	nobi.sdsu.edu
130.191.7.64	kaluapork.sdsu.edu
130.191.7.80	minime.sdsu.edu
130.191.7.81	miniyou.sdsu.edu
130.191.7.82	drevil.sdsu.edu
130.191.7.91	malloc.sdsu.edu
130.191.7.100	gypsy.sdsu.edu
130.191.7.106	spot.sdsu.edu
130.191.7.111	etcpasswd.sdsu.edu
130.191.7.126	devnull.sdsu.edu
130.191.7.132	eniac.sdsu.edu
130.191.7.133	bubba.sdsu.edu
130.191.7.245	xerxes.sdsu.edu
130.191.8.2	sdsumx.sdsu.edu
130.191.8.69	signon.sdsu.edu
130.191.8.71	sa1.sdsu.edu
130.191.8.72	sa2.sdsu.edu
130.191.8.80	frigate.sdsu.edu
130.191.8.91	webline.sdsu.edu
130.191.8.195	www2.sdsu.edu
130.191.8.198	esf.sdsu.edu
130.191.8.199	www1.sdsu.edu
130.191.8.201	borg.sdsu.edu
130.191.8.234	bogon.sdsu.edu
130.191.8.235	runit.sdsu.edu
130.191.8.240	bolus.sdsu.edu
130.191.8.248	web2mail.sdsu.edu
130.191.9.2	cristos-9-002.sdsu.edu
130.191.9.3	cristos-9-003.sdsu.edu
130.191.9.4	cristos-9-004.sdsu.edu
130.191.9.5	cristos-9-005.sdsu.edu
130.191.9.6	cristos-9-006.sdsu.edu
130.191.9.7	cristos-9-007.sdsu.edu
130.191.9.8	cristos-9-008.sdsu.edu
130.191.9.9	cristos-9-009.sdsu.edu
130.191.9.10	cristos-9-010.sdsu.edu
130.191.9.11	cristos-9-011.sdsu.edu
130.191.9.12	cristos-9-012.sdsu.edu
130.191.9.13	cristos-9-013.sdsu.edu
130.191.9.14	cristos-9-014.sdsu.edu
130.191.9.15	cristos-9-015.sdsu.edu
130.191.9.16	cristos-9-016.sdsu.edu
130.191.9.17	cristos-9-017.sdsu.edu
130.191.9.18	cristos-9-018.sdsu.edu
130.191.9.19	cristos-9-019.sdsu.edu
130.191.9.20	cristos-9-020.sdsu.edu
130.191.9.21	cristos-9-021.sdsu.edu
130.191.9.22	cristos-9-022.sdsu.edu
130.191.9.23	cristos-9-023.sdsu.edu
130.191.9.24	cristos-9-024.sdsu.edu
130.191.9.25	cristos-9-025.sdsu.edu
130.191.9.26	cristos-9-026.sdsu.edu
130.191.9.27	cristos-9-027.sdsu.edu
