130.191.35.234	malbec1-mgt.sdsu.edu
130.191.37.112	debr.sdsu.edu
130.191.241.33	alv6475-1-mac32.sdsu.edu
130.191.224.165	dyn-224-165.sdsu.edu
130.191.136.187	dyn-136-187.sdsu.edu
130.191.130.7	ads-pkg.ba.sdsu.edu
130.191.241.157	bmcgivern.sdsu.edu
130.191.27.56	mimas.sdsu.edu
130.191.3.101	studmail.sdsu.edu
130.191.165.205	winterm.sdsu.edu
130.191.125.121	cpsfa.sdsu.edu
130.191.163.215	ecpc105.sdsu.edu
130.191.213.58	ind-tech-1-mac8.sdsu.edu
130.191.65.172	dyn-65-172.sdsu.edu
130.191.2.15	e2900u.sdsu.edu
130.191.15.220	idmdev.sdsu.edu
130.191.226.31	cosdedjowin7.sdsu.edu
130.191.236.89	lif-sci-s1-mac24.sdsu.edu
130.191.200.129	jalapeno.sdsu.edu
130.191.21.176	d4.sdsu.edu
130.191.226.146	edwards.sdsu.edu
